claim_or_slide,source_file,source_detail,traceability_status
"Robustness I status: 27 represented / 24 complete or reused / 3 blocked_partial","03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_model_summary.csv","AE-SENS-PRES-003 local presentation-ready summary derived from run registry and model metric ranking","supported_local_only"
"Blocked configs disclosed","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_blocked_config_disclosure.csv","Rows for C080_M000_T012, C080_M000_T018, C060_M020_T028","supported_local_only"
"Strongest overall composite C090_M000_T012","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_presentation_key_findings.csv","finding_id strongest_composite","supported_local_only"
"AP winner C060_M000_T012","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_presentation_key_findings.csv","finding_id ap_winner","supported_local_only"
"Strongest 11C total-market benchmark-relative config C090_M020_T018","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_presentation_key_findings.csv","finding_id index_total_market_winner","supported_local_only"
"Continuity baseline C080_M020_T018 defensible but not top-ranked","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_presentation_key_findings.csv","finding_id continuity_baseline","supported_local_only"
"Sensitivity Results table OOS AP/AUC/R@FPR3","03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_model_summary.csv","Rows for C090_M000_T012, C060_M000_T012, C090_M020_T018, C080_M020_T018 with split=oos","supported_local_only"
"Sensitivity Results total-market alpha","03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv","Rows for selected C/M/T configs with best_total_market_difference_vs_benchmark","supported_local_only"
"Accepted-label temporary index grid complete for thresholds lockouts costs universes","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_index_threshold_lockout_cost_summary.csv","1024 rows covering model/universe/threshold/lockout/cost combinations from AE-INDEX-SUITE temporary grid","supported_local_only"
"Transaction costs applied to gross buy+sell turnover","03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_index_transaction_cost_lines.csv","Rows include annualized_turnover_gross and 0/5/10/20 bps transaction-cost variants","supported_local_only"
"Slide source map rows for sensitivity slides","06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/SLIDE_DATA_SOURCES.md","Rows 8, 10, and 28 map updated sensitivity slides to local summaries and evidence","supported_committed"
"AE-SENS-PRES-003 local-only data repair","05_Documentation/09_Epics/AE-SENS-PRES_Sensitivity_Analysis_Presentation/AE-SENS-PRES-003_Presentation_Summary_Build_Report.md","Repaired pushed commit contains documentation/evidence only; presentation_ready CSVs remain local-only","supported_committed"
"AE-SENS-PRES-004 slide update","05_Documentation/09_Epics/AE-SENS-PRES_Sensitivity_Analysis_Presentation/AE-SENS-PRES-004_Sensitivity_Slide_Update_Report.md","Documents sensitivity slide/source-map updates and local-only source policy","supported_committed"
"Permanent-CSI sensitivity is future work","06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/FinalPresentation_TristanLeiter_h11815352.Rnw","Remaining Robustness Work / Appendix future-work table marks permanent-CSI sensitivity grid planned/not completed","supported_committed"
