block_id,planned_slide_block,source_available,source_path,period_covered,track_covered,transaction_cost_coverage,support_type,caveats,next_action
A,"Temporary CSI OOS, 10 bps result slide",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","OOS","dynamic_csi","0;5;10;20 bps in source; 10 bps planned","table","Best-by-track table is already current deck source row 24; benchmark cost convention must stay explicit.","Use existing OOS 10 bps source rows."
B,"Temporary CSI OOS, combined error-cost + realized contribution slide",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/error_cost_decomposition_by_crsp_universe.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/error_cost_decomposition_by_crsp_universe.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_reconciliation_checks.csv","OOS","dynamic_csi","Attribution has 0;5;10;20 bps; current realized contribution slide uses 10 bps","table; text","Error-cost categories are independently annualized; use the attribution file for realized-alpha reconciliation and label geometric adjustment clearly.","Combine existing OOS diagnostic and attribution rows."
C,"Temporary CSI test, 10 bps result slide",yes,"03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv; 03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_grid_summary.csv; 03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_validation_checks.csv; 05_Documentation/09_Epics/AE-FP-DIAG_False_Positive_Diagnostics/AE-FP-DIAG-006_Test_Set_Index_Construction_Report.md","test, 2016-2019 only","dynamic_csi","0;5;10;20 bps in source; 10 bps planned","table","Isolated test output covers raw and raw_plus_latent only; validation confirms no OOS rows and 2016-2019 test years only.","Use existing test-only result table."
D,"Temporary CSI test, combined diagnostic/contribution slide",partial,"05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_reconciliation_checks.csv; model-level error_cost_decomposition_by_crsp_universe.csv files under 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/{raw,fund,latent_raw,raw_plus_latent}/3_Modelling_Results/Necessary/temporary_csi/**","test rows exist in main attribution/decomposition suite","dynamic_csi","0;5;10;20 bps in attribution; 10 bps planned","table; text","No standalone diagnostic/contribution artifact exists inside 03_Data_Output/9_TestIndexConstruction. Existing test contribution rows are sourced from the main index suite's period=test rows, not from a separate AE-FP-DIAG-006 diagnostic build.","If strict isolation to AE-FP-DIAG-006 is required, create a data-preparation ticket before slide edits; otherwise use AE-ATTRIB test rows with caveat."
E,"Permanent CSI OOS, 10 bps result slide",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv","OOS","permanent_csi","0;5;10;20 bps in source; 10 bps planned","table","Best-by-track table is already current deck source row 28; keep benchmark cost convention explicit.","Use existing OOS 10 bps source rows."
F,"Permanent CSI OOS, combined error-cost + realized contribution slide",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/error_cost_decomposition_by_crsp_universe.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/error_cost_decomposition_by_crsp_universe.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/error_cost_decomposition_by_crsp_universe.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_reconciliation_checks.csv","OOS","permanent_csi","Attribution has 0;5;10;20 bps; current realized contribution slide uses 10 bps","table; text","Permanent positives are rare; realized contribution should emphasize retained-stock reweighting, FP cost, and small TP gain without overclaiming mechanism.","Combine existing OOS diagnostic and attribution rows."
G,"Permanent CSI test, 10 bps result slide",yes,"03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv; 03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_grid_summary.csv; 03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_validation_checks.csv; 05_Documentation/09_Epics/AE-FP-DIAG_False_Positive_Diagnostics/AE-FP-DIAG-006_Test_Set_Index_Construction_Report.md","test, 2016-2019 only","permanent_csi","0;5;10;20 bps in source; 10 bps planned","table","Isolated test output covers raw and raw_plus_latent only; validation confirms no OOS rows and 2016-2019 test years only.","Use existing test-only result table."
H,"Permanent CSI test, combined diagnostic/contribution slide",partial,"05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_reconciliation_checks.csv; model-level error_cost_decomposition_by_crsp_universe.csv files under 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/{raw,fund,latent_raw,raw_plus_latent}/3_Modelling_Results/Necessary/permanent_csi/**","test rows exist in main attribution/decomposition suite","permanent_csi","0;5;10;20 bps in attribution; 10 bps planned","table; text","No standalone diagnostic/contribution artifact exists inside 03_Data_Output/9_TestIndexConstruction. Existing test contribution rows are sourced from the main index suite's period=test rows, not from a separate AE-FP-DIAG-006 diagnostic build.","If strict isolation to AE-FP-DIAG-006 is required, create a data-preparation ticket before slide edits; otherwise use AE-ATTRIB test rows with caveat."
I,"Transaction-cost robustness for OOS temporary/permanent CSI",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/transaction_cost_robustness_summary.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/transaction_cost_impact.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv","OOS","dynamic_csi; permanent_csi","0;5;10;20 bps; summary displays 0 vs 20 bps stability","table; text","Current slide focuses ranking stability; if showing 5 and 10 bps, use comparison file rather than final endpoint summary alone.","Use existing robustness summary plus best-by-cost rows."
J,"Turnover effect for 5/10/20 bps for OOS temporary/permanent CSI",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/turnover_summary.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/winner_turnover_summary_20bps.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv","OOS","dynamic_csi; permanent_csi","Best-by-cost has 0;5;10;20 bps; turnover summary is strategy-level gross turnover","table; chart; text","Turnover source is gross buy+sell traded weight; cost drag must be computed/read from net return difference by cost or total_transaction_cost_return_drag.","Use existing turnover and cost-grid sources."
K,"Threshold-family and turnover interpretation",yes,"03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/threshold_family_summary_20bps.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/winner_turnover_summary_20bps.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_threshold_family.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/turnover_summary.csv","OOS","dynamic_csi; permanent_csi","20 bps final summary; broader comparison sources available","table; text","Current main slide uses 20 bps summary; broader threshold comparison is available if revision needs more context.","Use existing threshold family and turnover summaries."
L,"Sensitivity results, made intuitive and clearly highlighting main results",yes,"05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/charts/chart1_sensitivity_stability_distribution.png; 05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv; 05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv; 05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/AE-SENS-CHART-001R_Chart_Interpretation.md; 03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_model_summary.csv; 03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv","temporary C/M/T sensitivity, 24 completed/reused runs; 3 blocked partial configs excluded","dynamic_csi","Not primarily a transaction-cost slide; appendix source mentions accepted-label 0;5;10;20 bps stability","chart; table; text","Sensitivity evidence is temporary CSI only; permanent sensitivity grid is planned/not completed and should remain future work.","Use existing chart and tables; state temporary-only boundary."
