check_area,status,evidence,notes
PDF generated,PASS,FinalPresentation_TristanLeiter_h11815352.pdf exists and is 468610 bytes,Fresh PDF generated by final pdflatex pass
Page count,PASS,44 pages,Matches 44 active Beamer frames
Title metadata,PASS,Rendered page 1 inspected,Title author supervisor and date visible
Frame count,PASS,44 active frame declarations in Rnw,All active frames represented
Question-mark placeholders,PASS,0 occurrences of ?? in extracted PDF text,No visible unresolved reference marker found by text extraction
Citations and bibliography,PASS,BibTeX plus final pdflatex passes completed with no undefined citation warnings,Bibliography page rendered
Dataset slides,PASS,Rendered dataset and descriptive-statistics slides inspected,Tables readable at selected render scale
Model-result slides,PASS,Temporary and permanent model-result pages inspected,Main metric tables readable
Index-result slides,PASS,Temporary and permanent index-result pages inspected,Winner tables and benchmark rows readable
Transaction-cost slide,PASS,Rendered transaction-cost robustness page inspected,Ranking-stability table readable
Threshold-turnover slide,PASS,Rendered fixed page inspected,Interpretation moved out of cramped table
Sensitivity slides,PASS,Rendered sensitivity result and appendix pages inspected,Status and blocked-partial descriptions readable
Source-path appendix,PASS,Rendered fixed page inspected,Long source paths no longer run off page
Source audit map,PASS,44 source-map rows and 0 missing source paths,SLIDE_DATA_SOURCES.md remains valid
Overlaps or cutoff,PASS,Selected rendered pages inspected,No remaining blocking overlap or off-page table found
Nonblocking layout risks,PASS,Compile log has compact-table overfull warnings,Documented as nonblocking after rendered inspection

