slide,page,changed_area,source_map_row,evidence_files,closeout_status,notes
Temporary CSI Test-Set Index Results at 10 bps,20,temporary test result,20,AE-PRES-INDEX-REV-003_Temporary_Test_Update_Report.md; AE-PRES-INDEX-REV-003_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Isolated test-set rows at 10 bps are source-mapped."
Temporary CSI Test-Set Diagnostic and Active Contribution,21,temporary test diagnostic/contribution,21,AE-PRES-INDEX-REV-003_Temporary_Test_Update_Report.md; AE-PRES-INDEX-REV-003_test_attribution_caveat.md; AE-PRES-INDEX-REV-003_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Main-suite period=test attribution caveat is documented."
Temporary CSI OOS Index Results at 10 bps,22,temporary OOS result,22,AE-PRES-INDEX-REV-002_Temporary_OOS_Update_Report.md; AE-PRES-INDEX-REV-002_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"OOS temporary CSI result rows at 10 bps are source-mapped."
Temporary CSI OOS Diagnostic and Active Contribution,23,temporary OOS diagnostic/contribution,23,AE-PRES-INDEX-REV-002_Temporary_OOS_Update_Report.md; AE-PRES-INDEX-REV-002_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"OOS contribution decomposition is source-mapped and visually QA'd."
Permanent CSI OOS Index Results at 10 bps,24,permanent OOS result,24,AE-PRES-INDEX-REV-004_Permanent_OOS_Update_Report.md; AE-PRES-INDEX-REV-004_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"OOS permanent CSI result rows at 10 bps are source-mapped."
Permanent CSI OOS Diagnostic and Active Contribution,25,permanent OOS diagnostic/contribution,25,AE-PRES-INDEX-REV-004_Permanent_OOS_Update_Report.md; AE-PRES-INDEX-REV-004_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Permanent CSI OOS contribution interpretation is source-mapped and visually QA'd."
Permanent CSI Test-Set Index Results at 10 bps,26,permanent test result,26,AE-PRES-INDEX-REV-005_Permanent_Test_Update_Report.md; AE-PRES-INDEX-REV-005_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Isolated permanent test-set rows at 10 bps are source-mapped."
Permanent CSI Test-Set Diagnostic and Active Contribution,27,permanent test diagnostic/contribution,27,AE-PRES-INDEX-REV-005_Permanent_Test_Update_Report.md; AE-PRES-INDEX-REV-005_test_attribution_caveat.md; AE-PRES-INDEX-REV-005_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Main-suite period=test attribution caveat is documented."
Transaction-Cost Robustness,28,transaction-cost robustness,28,AE-PRES-INDEX-REV-006_Robustness_Turnover_Sensitivity_Update_Report.md; AE-PRES-INDEX-REV-006_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"OOS temporary and permanent CSI 5/10/20 bps robustness is source-mapped."
Turnover Effect,29,turnover effect,29,AE-PRES-INDEX-REV-006_Robustness_Turnover_Sensitivity_Update_Report.md; AE-PRES-INDEX-REV-006_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"OOS temporary and permanent CSI turnover and 5/10/20 bps drag are source-mapped."
Threshold Families and Turnover,30,threshold-family/turnover interpretation,30,AE-PRES-INDEX-REV-006_Robustness_Turnover_Sensitivity_Update_Report.md; AE-PRES-INDEX-REV-006_source_traceability.csv; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Final selected rule families and turnover interpretation are source-mapped."
Sensitivity: Temporary CSI Main Run Versus C/M/T Grid,31,sensitivity main-run/grid,31,AE-PRES-INDEX-REV-006_Robustness_Turnover_Sensitivity_Update_Report.md; AE-PRES-INDEX-REV-006_source_traceability.csv; AE-PRES-INDEX-REV-007_Compile_And_Visual_QA_Report.md; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Sensitivity evidence is temporary-CSI only and no permanent-CSI sensitivity claim is made."
Appendix A19: Temporary CSI Sensitivity Detail,52,appendix sensitivity detail,52,AE-PRES-INDEX-REV-006_Robustness_Turnover_Sensitivity_Update_Report.md; AE-PRES-INDEX-REV-007_Compile_And_Visual_QA_Report.md; AE-PRES-INDEX-REV-007_visual_qa_checks.csv,pass,"Appendix repeats temporary-CSI sensitivity limitations and blocked partial configuration caveat."
