"artifact_type","scope","path","versioning_status","used_for","notes"
"report","family importance","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-004R_Family_Log_Odds_Importance_Report.md","versioned documentation","family-layer interpretation","Committed/report artifact for 11-family bounded GBM-only evidence."
"csv","family importance compact summary","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-004R_family_importance_summary.csv","versioned documentation","family ranking tables and synthesis","Compact summary used for top family values."
"csv","family unmapped audit","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-004R_unmapped_feature_audit.csv","versioned documentation","coverage and unmapped-feature caveat","Audit for retained unmapped inputs and VAE latent block handling."
"script","family importance script","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-004R_build_family_importance.py","versioned documentation","method provenance only","Script used by completed 004R ticket; 007R did not run it."
"folder","family full output","03_Data_Output/10_FeatureImportance/family_importance/","local ignored output","supporting full outputs and row deltas","Read-only source pointer; 007R did not write under 03_Data_Output."
"report","PIT ratio importance","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-005R_PIT_Ratio_Log_Odds_Importance_Report.md","versioned documentation","PIT-layer interpretation","Committed/report artifact for individual PIT/base ratio evidence."
"csv","PIT ratio compact summary","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-005R_pit_ratio_importance_summary.csv","versioned documentation","PIT ratio ranking tables and synthesis","Compact summary used for top PIT ratio values."
"csv","PIT ratio coverage audit","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-005R_pit_ratio_coverage_audit.csv","versioned documentation","PIT applicability and missing-ratio caveats","Shows latent_raw not applicable and absent expected ratios."
"script","PIT ratio importance script","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-005R_build_pit_ratio_importance.py","versioned documentation","method provenance only","Script used by completed 005R ticket; 007R did not run it."
"folder","PIT ratio full output","03_Data_Output/10_FeatureImportance/pit_ratio_importance/","local ignored output","supporting full outputs and row deltas","Read-only source pointer; 007R did not write under 03_Data_Output."
"report","individual feature importance","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-006R_Individual_Feature_Log_Odds_Importance_Report.md","versioned documentation","all-feature interpretation","Committed/report artifact for every predictor-required feature."
"csv","individual feature compact summary","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-006R_individual_feature_importance_summary.csv","versioned documentation","recurring individual-feature tables and synthesis","Compact summary used for repeated top-ten feature values."
"csv","individual feature coverage audit","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-006R_feature_mapping_coverage_audit.csv","versioned documentation","mapping coverage and unmapped-feature caveats","Audit for mapped, latent/VAE, and unmapped predictor-required features."
"script","individual feature importance script","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-006R_build_individual_feature_importance.py","versioned documentation","method provenance only","Script used by completed 006R ticket; 007R did not run it."
"folder","individual feature full output","03_Data_Output/10_FeatureImportance/individual_feature_importance/","local ignored output","supporting compact local outputs","Read-only source pointer; 007R did not write under 03_Data_Output."
"report","007R closeout","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-007R_Closeout_Report.md","versioned documentation","final synthesis for validator review","Created by 007R from existing evidence only."
"report","007R presentation summary","05_Documentation/09_Epics/AE-FEAT-IMPORT_Feature_Importance/AE-FEAT-IMPORT-007R_Presentation_Ready_Summary.md","versioned documentation","presentation-ready synthesis","Created by 007R from existing evidence only."
