ticket_id,slide_no,slide_title,element,source_file,filters_or_rows,displayed_claim,provenance_note
AE-PRES-INDEX-REV-006,28,Transaction-Cost Robustness,transaction-cost rows,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"response_track in dynamic_csi|permanent_csi; transaction_cost_bps in 5|10|20; rows=24; universes=large_cap|mid_cap|small_cap|total_market","OOS temporary/permanent selected winners remain unchanged across 5/10/20 bps","Read-only data output; no regenerated data."
AE-PRES-INDEX-REV-006,28,Transaction-Cost Robustness,ranking cross-check,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/transaction_cost_robustness_summary.csv,"winner_changed_0_to_20_bps=False for all eight track-index rows","Ranking/conclusion does not change under higher costs","Read-only final table."
AE-PRES-INDEX-REV-006,28,Transaction-Cost Robustness,cost impact cross-check,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/transaction_cost_impact.csv,"selected OOS winner strategy rows by track and universe","Cost drag is economically visible but not ranking-changing","Read-only comparison output."
AE-PRES-INDEX-REV-006,29,Turnover Effect,temporary total,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"dynamic_csi,total_market,fund,youden_3yr,5|10|20 bps","turnover=10.4%; drag=0.03/0.05/0.10pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,temporary large,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"dynamic_csi,large_cap,fund,youden_3yr,5|10|20 bps","turnover=13.0%; drag=0.03/0.07/0.13pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,temporary mid,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"dynamic_csi,mid_cap,fund,fpr5_5yr,5|10|20 bps","turnover=105.9%; drag=0.26/0.53/1.06pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,temporary small,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"dynamic_csi,small_cap,raw_plus_latent,youden_3yr,5|10|20 bps","turnover=85.5%; drag=0.21/0.43/0.85pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,permanent total,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"permanent_csi,total_market,raw_plus_latent,fpr5_permanent,5|10|20 bps","turnover=6.8%; drag=0.02/0.03/0.07pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,permanent large,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"permanent_csi,large_cap,raw_plus_latent,fpr5_permanent,5|10|20 bps","turnover=11.5%; drag=0.03/0.06/0.12pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,permanent mid,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"permanent_csi,mid_cap,fund,fpr5_permanent,5|10|20 bps","turnover=106.2%; drag=0.27/0.53/1.06pp","OOS selected winner row."
AE-PRES-INDEX-REV-006,29,Turnover Effect,permanent small,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,"permanent_csi,small_cap,latent_raw,fpr3_permanent,5|10|20 bps","turnover=75.7%; drag=0.19/0.38/0.76pp","OOS selected winner row."
