trace_id,claim_or_artifact,primary_source,derived_artifact,trace_status,notes
trace_001,status_quo_source_inventory,03_Data_Output/5_SensitivityAnalysis/presentation_ready; 03_Data_Output/6_ModelSuite; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite,AE-MODEL-INDEX-LINK-001_available_sources.csv,pass,All relevant local source families inventoried without modification.
trace_002,linkage_key_inventory,AE-MODEL-INDEX-LINK-001_available_sources.csv,AE-MODEL-INDEX-LINK-001_linkage_inventory.csv,pass,Documents run_id linkage for CMT and model_key/track linkage for model suite.
trace_003,cmt_ap_alpha_correlation,AE-SENS-CHART sensitivity_index_stability_table.csv; sensitivity_cmt_index_summary.csv,AE-MODEL-INDEX-LINK-002_metric_alpha_correlations.csv,pass,OOS AP versus total-market alpha recorded as Pearson -0.042425 and Spearman -0.100870.
trace_004,cmt_r_fpr3_alpha_correlation,AE-SENS-CHART sensitivity_index_stability_table.csv; sensitivity_cmt_index_summary.csv,AE-MODEL-INDEX-LINK-002_metric_alpha_correlations.csv,pass,OOS R@FPR3 versus alpha recorded as Pearson 0.336036 and Spearman 0.320870.
trace_005,joined_metric_index_dataset,AE-SENS-CHART tables; ModelSuite metrics; AE-INDEX-SUITE comparison tables,AE-MODEL-INDEX-LINK-002_joined_metric_index_dataset.csv,pass,Compact 56-row joined diagnostic dataset stored in documentation folder.
trace_006,ap_winner_not_alpha_winner,AE-SENS-CHART sensitivity_index_stability_table.csv,AE-MODEL-INDEX-LINK-003_alignment_divergence_examples.csv,pass,AP winner C060_M000_T012 differs from alpha winner C090_M020_T018.
trace_007,mechanism_channels,transaction_cost_impact.csv; turnover_summary.csv; full_grid_error_cost_summary.csv; model_family_comparison.csv,AE-MODEL-INDEX-LINK-003_Mechanism_Diagnostic.md,pass,Threshold, universe, error-cost, turnover/cost, and model-family channels documented.
trace_008,claim_boundaries,AE-MODEL-INDEX-LINK-001/002/003 evidence,AE-MODEL-INDEX-LINK-004_claim_boundaries.csv,pass,Supported/not-supported/qualified claims explicitly classified.
trace_009,reporting_recommendation,AE-MODEL-INDEX-LINK-004_claim_boundaries.csv,AE-MODEL-INDEX-LINK-004_Reporting_Recommendation.md,pass,Human-facing recommendation created.
trace_010,checkpoint_004,AE-MODEL-INDEX-LINK-004_Reporting_Recommendation.md,epics/AE-MODEL-INDEX-LINK/checkpoint-summaries/AE-MODEL-INDEX-LINK-004.yaml,pass,Checkpoint summary created and committed.
trace_011,checkpoint_005,AE-MODEL-INDEX-LINK-005_Closeout_Report.md,epics/AE-MODEL-INDEX-LINK/checkpoint-summaries/AE-MODEL-INDEX-LINK-005.yaml,pending_until_commit,Created in closeout ticket.
