area,slide_or_rows,title,status,source_or_evidence,notes
final_artifacts,all,Final June presentation artifacts,PASS,"PDF exists; Rnw exists; SLIDE_DATA_SOURCES.md exists","Final state is 58 PDF pages, 58 Rnw frames, and 58 source-map rows."
temporary_oos,22,Temporary CSI OOS Index Results at 10 bps,PASS,SLIDE_DATA_SOURCES.md row 22,"OOS temporary CSI result table at 10 bps with benchmark and selected strategy rows."
temporary_oos,23,Temporary CSI OOS Diagnostic and Active Contribution,PASS,SLIDE_DATA_SOURCES.md row 23,"Combined OOS attribution/contribution row with transaction_cost_bps=10."
temporary_test_inserted,24,Temporary CSI Test-Set Index Results at 10 bps,PASS,SLIDE_DATA_SOURCES.md row 24; AE-PRES-INDEX-REV-007R_source_traceability.csv,"Inserted immediately after slide 23; isolated test package with period=test and transaction_cost_bps=10."
temporary_test_inserted,25,Temporary CSI Test Diagnostic and Active Contribution,PASS,SLIDE_DATA_SOURCES.md row 25; AE-PRES-INDEX-REV-007R_test_attribution_caveat.md,"Inserted immediately after slide 24; uses main-suite period=test attribution with caveat."
permanent_oos,26,Permanent CSI OOS Index Results at 10 bps,PASS,SLIDE_DATA_SOURCES.md row 26,"OOS permanent CSI result table at 10 bps with benchmark and selected strategy rows."
permanent_oos,27,Permanent CSI OOS Diagnostic and Active Contribution,PASS,SLIDE_DATA_SOURCES.md row 27,"Combined OOS attribution/contribution row with transaction_cost_bps=10."
permanent_test,28,Permanent CSI Test-Set Index Results at 10 bps,PASS,SLIDE_DATA_SOURCES.md row 28; AE-PRES-INDEX-REV-005_source_traceability.csv,"Isolated test package with period=test and transaction_cost_bps=10."
permanent_test,29,Permanent CSI Test-Set Diagnostic and Active Contribution,PASS,SLIDE_DATA_SOURCES.md row 29; AE-PRES-INDEX-REV-005_test_attribution_caveat.md,"Uses main-suite period=test attribution with caveat."
transaction_cost,30,Transaction-Cost Robustness,PASS,SLIDE_DATA_SOURCES.md row 30; AE-PRES-INDEX-REV-006_source_traceability.csv,"OOS temporary/permanent CSI winner stability across 5/10/20 bps."
turnover,31,Turnover Effect,PASS,SLIDE_DATA_SOURCES.md row 31; AE-PRES-INDEX-REV-006_source_traceability.csv,"OOS temporary/permanent CSI turnover and cost drag at 5/10/20 bps."
threshold_family,32,Threshold Families and Turnover,PASS,SLIDE_DATA_SOURCES.md row 32; AE-PRES-INDEX-REV-006_source_traceability.csv,"Final selected rule families tied to turnover interpretation."
sensitivity_main,33,Sensitivity: Temporary CSI Main Run Versus C/M/T Grid,PASS,SLIDE_DATA_SOURCES.md row 33; AE-PRES-INDEX-REV-006_validation_report.md,"Temporary-CSI-only sensitivity, main-run comparison, stable-positive result, limitations."
sensitivity_appendix,54,Appendix A19: Temporary CSI Sensitivity Detail,PASS,SLIDE_DATA_SOURCES.md row 54; PDF text page 54,"Temporary-CSI-only detail; no permanent-CSI sensitivity support."
future_work,56,Appendix A21: Future Robustness and Extensions,PASS,SLIDE_DATA_SOURCES.md row 56; PDF text page 56,"Permanent-CSI sensitivity marked planned/not completed."
test_attribution_caveats,25;29,Test diagnostic caveats,PASS,"Rnw caveat blocks; SLIDE_DATA_SOURCES.md rows 25 and 29; AE-PRES-INDEX-REV-003/005/007R caveat evidence","Diagnostic/contribution slides do not overclaim standalone isolated test diagnostics."
sensitivity_limitation,33;54;56,Temporary-only sensitivity boundary,PASS,"Rnw lines 1446 and 2071; SLIDE_DATA_SOURCES.md rows 33, 54, 56","Sensitivity evidence is temporary CSI only and does not support permanent-CSI claims."
superseded_closeout,008_to_008R,Closeout count refresh,PASS,"AE-PRES-INDEX-REV-007R and AE-PRES-INDEX-REV-007S evidence; this report","AE-PRES-INDEX-REV-008 superseded because deck count changed from 56 to 58."
