slide,claim_or_content,source_path,source_rows_or_filter,values_used,provenance_note
Appendix A1,CRSP terminal-failure overlap and cleaned label prevalence,05_Documentation/09_Epics/AE-SLIDE-CLEANUP_Slide_Cleanup and prior AE-PANEL/source-map evidence,Original appendix A1-A3 summarized,"CRSP 572-574 firms 629; detected 545; detection rate 86.65%; temporary train/test/OOS prevalence 4.57/4.44/6.32%; permanent train/test/OOS prevalence 3.76/3.00/1.28%",Compressed from previously source-backed appendix rows
Appendix A2,Descriptive statistics and feature blocks,05_Documentation/09_Epics/AE-SLIDE-CLEANUP_Slide_Cleanup and prior descriptive-statistics/source-map evidence,Original appendix A4-A7 summarized,"Temporary full-sample median market cap y0/y1 350.9/68.7; permanent 249.3/66.2; full-sample annual returns and ROA summarized",Compressed from previously source-backed appendix rows
Appendix A3,CV design and model metrics,03_Data_Output/6_ModelSuite/comparison/AE-MODEL-SUITE-007_model_suite_metrics_long.csv; 03_Data_Output/6_ModelSuite/raw/derived_metrics/raw_complete_threshold_metrics.csv,Selected temporary/permanent AG rows and CV design notes,"Temp test AG Expanded AP 0.1985 AUC 0.8766 R@FPR3 0.2002; Perm test AG Expanded AP 0.1416 AUC 0.8810 R@FPR3 0.1808",Read-only source inspection only
Appendix A4,VAE architecture and family-winner interpretation,03_Data_Output/6_ModelSuite/**; prior AE-SLIDE-CLEANUP-003 evidence,Model-suite family winners and VAE evidence,"WeightedEnsemble_L2 selected across eight final track x feature-set runs; VAE latent dimension 24; beta 1.0 gamma 0.1",Compressed from previously accepted VAE/model-family appendix rows
Appendix A5,Index grid and selected rules,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/full_grid_manifest.csv; comparison/best_by_track_index_cost.csv; threshold and turnover summaries,Final grid and selected-rule summaries,"Tracks temporary/permanent; universes Total/Large/Mid/Small; thresholds Youden/FPR1/FPR3/FPR5; costs 0/5/10/20 bps",Read-only source inspection only
Appendix A6,Transaction-cost robustness and attribution source discipline,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 05_Documentation/09_Epics/AE-TC-RECHECK_Transaction_Cost_Slide_Audit/**; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/**,Accepted TC and attribution evidence,"20 bps alpha temp Total/Large/Mid/Small +0.41/+0.12/+0.28/+0.45; perm +0.25/+0.20/+0.51/+0.16",Compressed from accepted TC and attribution presentation revisions
Appendix A7,Temporary CSI sensitivity only and limitations,03_Data_Output/5_SensitivityAnalysis/**; 05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/**,Temporary C/M/T sensitivity summaries,"Baseline C080_M020_T018 OOS AP 0.308 AUC 0.896 11C alpha +0.065; sensitivity is temporary CSI only",No permanent-CSI sensitivity claim
Appendix A8,Limitations future work and traceability,Prior ticket validation/evidence under AE-SLIDE-CLEANUP and AE-PRES-INDEX-REV,Ticket evidence summaries,NA,Conceptual/source-traceability compression slide
Appendix A9,Family-level feature importance for 11 canonical families,03_Data_Output/10_FeatureImportance/family_importance/AE-FEAT-IMPORT-004R_family_importance_summary.csv,feature_set=fund; track=dynamic_csi; is_canonical_11=True; sorted by mean_abs_delta_log_odds,"point_in_time_ratios 0.6088218132; rolling_window_statistics 0.5234514125; peak_deterioration 0.1516328251; expanding_volatility 0.0975486960; yoy_changes 0.0936330119; expanding_mean 0.0649079983; trough_rise 0.0475308548; price_momentum_volatility_and_macro_interactions 0.0385879659; acceleration 0.0367784547; accounting_momentum 0.0365070677; consecutive_declines 0.0076100077",Model-based log-odds perturbation caveat included on-slide
Appendix A9,Family-level feature-importance run metadata,03_Data_Output/10_FeatureImportance/family_importance/AE-FEAT-IMPORT-004R_run_metadata.json,Run metadata,"bounded GBM-only predictor workspace; deterministic per-feature permutation within CV/training-analysis blocks; n_summary_rows 98; n_model_track_combinations 8",Read-only inspection only
Appendix A10,Point-in-time ratio importance,03_Data_Output/10_FeatureImportance/pit_ratio_importance/AE-FEAT-IMPORT-005R_pit_ratio_importance_summary.csv,feature_set=fund; track=dynamic_csi; sorted by mean_abs_delta_log_odds,"earn_yld 0.1332260575; altman_z2 0.1312592553; ocf_per_share 0.1005980243; roic 0.0665766932; roa 0.0476858360; ocf_margin 0.0460976610; interest_cov 0.0416100514; quick_ratio 0.0283647465",Model-based log-odds perturbation caveat included on-slide
Appendix A10,Individual feature importance,03_Data_Output/10_FeatureImportance/individual_feature_importance/AE-FEAT-IMPORT-006R_individual_feature_importance_summary.csv,feature_set=fund; track=dynamic_csi; sorted by mean_abs_delta_log_odds,"unrate 0.1811692063; earn_yld 0.1332260575; altman_z2 0.1312592553; ocf_per_share 0.1005980243; peak_drop_log_mkvalt 0.0964378984; roll_min_5y_earn_yld 0.0859638924; roll_min_3y_earn_yld 0.0669693744; roll_sd_5y_earn_yld 0.0667563706",Model-based log-odds perturbation caveat included on-slide
Appendix A10,Feature-importance run metadata,03_Data_Output/10_FeatureImportance/pit_ratio_importance/AE-FEAT-IMPORT-005R_run_metadata.json; 03_Data_Output/10_FeatureImportance/individual_feature_importance/AE-FEAT-IMPORT-006R_run_metadata.json,Run metadata,"PIT n_summary_rows 246; expected PIT ratio features 44; individual n_summary_rows 2824; mapped rows 2716; latent VAE rows 100",Read-only inspection only
