slide_number,slide_title,claim_or_value,displayed_value,source_value,difference,source_path,status,notes
20,Index Results: Does the Crash Filter Help?,OOS Total alpha,+0.42pp,+0.43pp,-0.01pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,stale_value_suspected,"Source at 10 bps is 0.4272pp; two-decimal display should be +0.43pp."
20,Index Results: Does the Crash Filter Help?,OOS Large alpha,+0.14pp,+0.15pp,-0.01pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,stale_value_suspected,"Source at 10 bps is 0.1522pp."
20,Index Results: Does the Crash Filter Help?,OOS Mid alpha,+0.39pp,+0.51pp,-0.12pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,mismatch,"Source at 10 bps is 0.5075pp."
20,Index Results: Does the Crash Filter Help?,OOS Small alpha,+0.55pp,+0.63pp,-0.08pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,mismatch,"Source at 10 bps is 0.6256pp."
20,Index Results: Does the Crash Filter Help?,Test Total Sharpe change,0.89 -> 1.00,0.8887 -> 1.0016,0.00,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,rounding_match,"Matches Permanent-CSI test Youden row, not the temporary test bar legend."
20,Index Results: Does the Crash Filter Help?,CSI cap-weight exposure,about 1%,not traced,n/a,n/a,unsupported_source,"No precise source was identified during the slide 20-28 audit."
21,Temporary-CSI Results OOS,Total geo return,13.3 -> 13.7,13.2832 -> 13.7104,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,rounding_match,"OOS period and 10 bps."
21,Temporary-CSI Results OOS,Total alpha,+0.42pp,+0.43pp,-0.01pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"Source is 0.4272pp."
21,Temporary-CSI Results OOS,Large alpha,+0.14pp,+0.15pp,-0.01pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"Source is 0.1522pp."
21,Temporary-CSI Results OOS,Mid geo return,9.7 -> 10.1,9.5383 -> 10.0458,+0.16/+0.05pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"One-decimal source display should be about 9.5 -> 10.0."
21,Temporary-CSI Results OOS,Mid alpha,+0.39pp,+0.51pp,-0.12pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,mismatch,"Source is 0.5075pp."
21,Temporary-CSI Results OOS,Small geo return,7.7 -> 8.2,7.5741 -> 8.1998,+0.13/+0.00pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"Benchmark displays high relative to current source."
