slide_number,section,frame_title,start_line,end_line,current_data_result_claims,needs_update,likely_source_files,recommended_action,rationale
1,Front matter,(untitled/title/bibliography frame),86,88,Primarily narrative/transition; no explicit quantitative claim detected.,False,May baseline / narrative review,retain,No result update required; update only if citations change.
2,Motivation,The Agony and Ecstasy,93,125,"Long-run index returns are driven by a few high-performing stocks, while a considerable share of constituents suffer catastrophic declines. | Some constituents experience deep and persistent drawdowns without recovery. | Passive strategies may hold imploding firms for too long.",False,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**; 06_Presentations/01_ProposalPresentation/Necessary/ProposalPresentation/**,retain_or_light_edit,Core narrative can likely be retained with minor wording refresh.
3,Research Question,Research Question,130,157,"To what extent does a ``Crash-Filtered'' equity index, constructed via probabilistic implosion modeling, generate superior risk-adjusted returns compared to the market benchmark and traditional minimum-volatility strategies? | The probabilistic implosion model follows the Catastrophic Stock Implosion approach proposed by Tewari et al. (2024). Instead of relying only on formal bankruptcy declarations, CSI uses market-based price-path signals. | How does the integration of Autoencoders for feature engineering impact the Average Precision of Ensemble models compared to those trained solely on raw financial data?",False,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**; 06_Presentations/01_ProposalPresentation/Necessary/ProposalPresentation/**,retain_or_light_edit,Core narrative can likely be retained with minor wording refresh.
4,Dataset,Dataset,162,240,"The main data sources are WRDS and FRED. The OOS index testing is kept strictly seperated from the training data for walk-forward CV and the test set. Model selection is conducted based on the test set results. | card/.style= draw, rounded corners=4pt, minimum width=3.6cm, minimum height=3.4cm, anchor=north west, inner sep=6pt, align=left , | cardA/.style= card, fill=MainColour!8, draw=MainColour ,",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
5,Response Variable,Methodology I: Response Variable Classification,245,272,"Following Tewari et al. (2024), a stock is classified as a CSI ( y=1 ) if it satisfies all three criteria: | Initial Crash ( C ): more than a C drawdown from the trailing peak marks the beginning of the ``zombie'' period. warningRed C -80 | Non-Recovery ( M ): maximum cumulative return remains below the recovery ceiling M during the zombie period. warningRed M -20",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
6,Response Variable,Applying the classification to the CRSP dataset,276,305,"frame Applying the classification to the CRSP dataset | The current cleaned scaffold keeps only observable CRSP firm-years. With the terminal-failure route enabled, the temporary-CSI label has 8,517 positive annual cells and 8,674 unresolved cells retained as y=NA . | tabcolsep 2.7pt",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/5_SensitivityAnalysis/**; 07_CloudComputing/Validation/AE-SENS/**; 06_Presentations/01_ProposalPresentation/Necessary/ProposalPresentation/**,edit,Likely needs revised June data/results refresh.
7,Response Variable,Robustness I: Do CSI-firms go bankrupt?,309,337,"frame Robustness I: Do CSI-firms go bankrupt? | Validation question: Among firms that eventually delist or bankrupt, how many had already been classified as CSI? | tabcolsep 2.5pt",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/5_SensitivityAnalysis/**; 07_CloudComputing/Validation/AE-SENS/**,edit,Likely needs revised June data/results refresh.
8,Response Variable,Methodology II: ``Temporary-CSI'',342,397,"frame Methodology II: ``Temporary-CSI'' | Original CSI rule unchanged. A second positive route is added only after a valid drawdown trigger: if CRSP 572--574 arrives after the trigger and within the T -month confirmation window, the trigger becomes positive. | node distance=4mm,",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
9,Response Variable,Robustness II: Do CSI-firms recover again?,401,493,"frame Robustness II: Do CSI-firms recover again? | CSI flags mostly identify persistent declines; recovery risk appears mainly in with a smaller drawdown threshhold | After a temporary-CSI flag, the robustness grid tracks the five-year recovery bucket across alternative crash/recovery windows.",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**; 03_Data_Output/5_SensitivityAnalysis/**; 07_CloudComputing/Validation/AE-SENS/**,edit,Likely needs revised June data/results refresh.
10,Response Variable,Methodology III: ``Permanent-CSI'',497,557,"frame Methodology III: ``Permanent-CSI'' | alertblock Dealing with recovering firms | Permanent-CSI starts from a confirmed temporary-CSI event and separates terminal failure, durable non-recovery, resolved recovery, and unresolved PCL windows.",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit,Likely needs revised June data/results refresh.
11,Response Variable,Dataset: Descriptive Statistics,561,589,alertblock CSI positives are rare and economically distinct from non-positives | Both label definitions isolate a small distressed tail. The key contrast is not only prevalence: positive firms are much smaller and show worse realized returns and profitability. | tabcolsep 1.85pt,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
12,Modelling,Modelling I: Setup and Feature Engineering,594,681,"frame Modelling I: Setup and Feature Engineering | / in 0/1993, 4.2/2004, 7.6/2015, 9.2/2019, 11.0/2024 | at (,1.55) ;",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
13,Modelling,Modelling II: Results Temporary CSI,686,716,frame Modelling II: Results Temporary CSI | alertblock Best current model for index construction | AutoGluon Expanded Dataset is the best current temporary-CSI model on CV and the 2016-2019 test set OOS portfolio testing is deliberately kept out of model selection.,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**; 03_Data_Output/5_SensitivityAnalysis/**; 07_CloudComputing/Validation/AE-SENS/**,edit,Likely needs revised June data/results refresh.
14,Modelling,Modelling III: Results Permanent-CSI,720,750,frame Modelling III: Results Permanent-CSI | alertblock Best current model evidence | Permanent-CSI is forecastable but more difficult than temporary CSI. XGBoost Expanded Dataset is strongest on 2016-2019 test AP/R3; AutoGluon Expanded Dataset and Exp. Dataset + VAE are the clean completed AutoGluon baselines.,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
15,E. Index Construction,Index Construction I: From Score to Portfolio Weight,755,818,frame Index Construction I: From Score to Portfolio Weight | The model produces a probability of CSI next year. A threshold turns that probability into a binary exclusion flag. The flag is then applied to market-cap weights. Two regimes differ only in how long the flag persists after it first fires. | From model score to portfolio weight,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
16,E. Index Construction,Index Construction II: Four Benchmark Universes,822,868,"frame Index Construction II: Four Benchmark Universes | The revised 11C track applies the score-to-weight pipeline independently inside each CRSP-like universe, producing four screened benchmarks alongside their unfiltered counterparts. | uni/.style= draw=darkgrey, fill=grey!20, rounded corners=4pt, minimum width=2.7cm, minimum height=1.6cm, align=center",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
