slide_frame,slide_title,slide_row_or_claim,displayed_value,source_file,source_filter_or_row,source_value_or_check,caveat
21,"Temporary CSI OOS Index Results at 10 bps","Total benchmark","13.29% geo ret; 19.03% ann. SD; 0.598 Sharpe; -25.03% max DD; -11.62% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=total_market; model_key=bench; strategy_id=bench_mw","benchmark market-cap reference row","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
21,"Temporary CSI OOS Index Results at 10 bps","Total best strategy","AG Base Dataset; Youden/3yr; 13.71% geo ret; 18.28% ann. SD; 0.635 Sharpe; -23.79% max DD; -11.22% ES; +0.42pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","response_track=dynamic_csi; period=oos; transaction_cost_bps=10; index_id=total_market; model_key=fund; threshold_method=youden; lockout_years=3; strategy_id=youden_3yr","strategy net return 0.137104; source best alpha approximately +0.43pp; displayed rounded delta +0.42pp under benchmark-reference convention","Strategy row uses 10 bps net performance."
21,"Temporary CSI OOS Index Results at 10 bps","Large benchmark","14.28% geo ret; 18.49% ann. SD; 0.657 Sharpe; -24.79% max DD; -10.84% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=large_cap; model_key=bench; strategy_id=bench_mw","benchmark market-cap reference row","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
21,"Temporary CSI OOS Index Results at 10 bps","Large best strategy","AG Base Dataset; Youden/3yr; 14.42% geo ret; 17.98% ann. SD; 0.677 Sharpe; -23.90% max DD; -10.65% ES; +0.14pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","response_track=dynamic_csi; period=oos; transaction_cost_bps=10; index_id=large_cap; model_key=fund; threshold_method=youden; lockout_years=3; strategy_id=youden_3yr","strategy net return 0.144153; source best alpha approximately +0.15pp; displayed rounded delta +0.14pp under benchmark-reference convention","Strategy row uses 10 bps net performance."
21,"Temporary CSI OOS Index Results at 10 bps","Mid benchmark","9.65% geo ret; 20.72% ann. SD; 0.406 Sharpe; -24.58% max DD; -13.83% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=mid_cap; model_key=bench; strategy_id=bench_mw","benchmark market-cap reference row","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
21,"Temporary CSI OOS Index Results at 10 bps","Mid best strategy","AG Base Dataset; FPR5/5yr; 10.05% geo ret; 20.70% ann. SD; 0.424 Sharpe; -24.46% max DD; -13.85% ES; +0.39pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv","response_track=dynamic_csi; period=oos; transaction_cost_bps=10; index_id=mid_cap; model_key=fund; threshold_method=fpr5; lockout_years=5; strategy_id=fpr5_5yr","strategy net return 0.100458; source best alpha approximately +0.51pp; displayed rounded delta +0.39pp under benchmark-reference convention","Strategy row uses 10 bps net performance."
21,"Temporary CSI OOS Index Results at 10 bps","Small benchmark","7.65% geo ret; 23.80% ann. SD; 0.305 Sharpe; -29.05% max DD; -16.12% ES; 0.00pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","period=oos; index_id=small_cap; model_key=bench; strategy_id=bench_mw","benchmark market-cap reference row","Benchmark displayed as unfiltered market-cap reference with no strategy exclusion-cost overlay."
21,"Temporary CSI OOS Index Results at 10 bps","Small best strategy","AG Exp. Dataset + VAE; Youden/3yr; 8.20% geo ret; 22.64% ann. SD; 0.332 Sharpe; -29.33% max DD; -15.77% ES; +0.55pp delta","03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv","response_track=dynamic_csi; period=oos; transaction_cost_bps=10; index_id=small_cap; model_key=raw_plus_latent; threshold_method=youden; lockout_years=3; strategy_id=youden_3yr","strategy net return 0.081998; source best alpha approximately +0.63pp; displayed rounded delta +0.55pp under benchmark-reference convention","Strategy row uses 10 bps net performance."
22,"Temporary CSI OOS Diagnostic and Active Contribution","Total contribution row","TP +0.08pp; FP -2.03pp; reweight +1.79pp; TC -0.01pp; geo adj. +0.59pp; alpha +0.42pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=oos; transaction_cost_bps=10; index_id=total_market; model=fund; threshold_method=youden; lockout_years=3","tp_exclusion_gain=0.000836; fp_exclusion_cost=-0.020288; retained_stock_reweighting_effect=0.017897; transaction_cost_effect=-0.000104; compounding_geometric_adjustment=0.005931; realized_alpha=0.004272; reconciliation_pass=true","Reweighting aggregates retained-name effects from older FN/TN diagnostic view."
22,"Temporary CSI OOS Diagnostic and Active Contribution","Large contribution row","TP -0.00pp; FP -1.50pp; reweight +1.24pp; TC -0.01pp; geo adj. +0.41pp; alpha +0.14pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=oos; transaction_cost_bps=10; index_id=large_cap; model=fund; threshold_method=youden; lockout_years=3","tp_exclusion_gain=-0.000003; fp_exclusion_cost=-0.015022; retained_stock_reweighting_effect=0.012397; transaction_cost_effect=-0.000073; compounding_geometric_adjustment=0.004224; realized_alpha=0.001522; reconciliation_pass=true","Reweighting aggregates retained-name effects from older FN/TN diagnostic view."
22,"Temporary CSI OOS Diagnostic and Active Contribution","Mid contribution row","TP -0.00pp; FP +0.05pp; reweight +0.27pp; TC -0.11pp; geo adj. +0.18pp; alpha +0.39pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=oos; transaction_cost_bps=10; index_id=mid_cap; model=fund; threshold_method=fpr5; lockout_years=5","tp_exclusion_gain=-0.000018; fp_exclusion_cost=0.000500; retained_stock_reweighting_effect=0.002742; transaction_cost_effect=-0.001075; compounding_geometric_adjustment=0.001774; realized_alpha=0.003923; reconciliation_pass=true","Reweighting aggregates retained-name effects from older FN/TN diagnostic view."
22,"Temporary CSI OOS Diagnostic and Active Contribution","Small contribution row","TP +0.42pp; FP -4.00pp; reweight +3.94pp; TC -0.09pp; geo adj. +0.28pp; alpha +0.55pp","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","track=temporary CSI; period=oos; transaction_cost_bps=10; index_id=small_cap; model=raw_plus_latent; threshold_method=youden; lockout_years=3","tp_exclusion_gain=0.004233; fp_exclusion_cost=-0.040033; retained_stock_reweighting_effect=0.039441; transaction_cost_effect=-0.000867; compounding_geometric_adjustment=0.002773; realized_alpha=0.005547; reconciliation_pass=true","Reweighting aggregates retained-name effects from older FN/TN diagnostic view."
22,"Temporary CSI OOS Diagnostic and Active Contribution","Interpretation","Avoids overclaiming direct event avoidance; says alpha is mainly retained-stock reweighting plus geometric portfolio effects after FP cost","05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_Main_Index_Attribution_Report.md; 05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv","temporary CSI; period=oos; transaction_cost_bps=10","TP direct contribution is modest except Small Cap; FP cost is large negative in Total/Large/Small; reweighting and geometric adjustment are material positive terms","Interpretation is intentionally conservative."
