page,slide_title,role,render_path,visual_result,notes
19,Index Construction II: Four Benchmark Universes,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-19.png,pass,neighbor before changed headline slide
20,Index Results: Does the Crash Filter Help?,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-20.png,pass,corrected OOS bar heights render clearly
21,Temporary-CSI Results: OOS,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-21.png,pass,corrected 10 bps deltas visible
22,Permanent-CSI Results: OOS,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-22.png,pass,corrected 10 bps deltas visible
23,Where Does the Alpha Come From?,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-23.png,pass,neighbor after OOS result slides
24,Permanent-CSI Results: Test,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-24.png,pass,neighbor before transaction-cost robustness slide
25,Impact of transaction costs: the winners are unchanged,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-25.png,pass,corrected 5/10/20 values and zero-cost note visible
26,Cost Drag due to turnover is concentrated in mid and small caps,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-26.png,pass,neighbor between transaction-cost and threshold slides
27,The Selected Rules Are Principled,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-27.png,pass,corrected mean-alpha values readable
28,Sensitivity Analysis: temporary CSI only,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages19_28-28.png,pass,neighbor after threshold slide
42,Appendix A14: Final Index Grid Contract,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages42_47-42.png,pass,neighbor before changed appendix A15
43,Appendix A15: 20 bps Winners With Benchmarks,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages42_47-43.png,pass,corrected 20 bps benchmarks and alphas readable
44,Appendix A16: Error Decomposition and Index Source Paths,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages42_47-44.png,pass,neighbor between changed appendix slides
45,Appendix A17: Transaction-Cost Robustness,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages42_47-45.png,pass,corrected Alpha 20 values visible
46,Appendix A18: Threshold Family and Turnover Summary,changed,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages42_47-46.png,pass,corrected mean-alpha values readable
47,Appendix A19: Temporary CSI Sensitivity Detail,neighbor,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/visual_qa/AE-PRES-DRAFT-TC-FIX-001_pages42_47-47.png,pass,neighbor after changed appendix A18
