family_id,feature_family,primary_pattern_or_columns,examples,applies_to_feature_sets,ambiguous_assignment_rule,ambiguous_examples,notes
1,point_in_time_ratios,"explicit ratio columns from 06B ratio_cols before dynamic prefixes","earn_yld; ocf_per_share; roa; roe; roic; ebit_roa; gross_margin; ebitda_margin; ocf_margin; leverage; net_debt_ebitda; current_ratio; bp_ratio; altman_z; invest_st_ratio","raw; fund; raw_plus_latent","Assign base-year accounting, valuation, liquidity, leverage, quality, size, Altman, and macro level variables here when no dynamic prefix is present.","log_mkvalt is size, not price momentum; fedfunds/gdp_growth/hy_spread/vix/recession are point-in-time macro controls although not accounting ratios.","This is also the point-in-time ratio subset for family-level and ratio-subset outputs."
2,yoy_changes,"^yoy_","yoy_roa; yoy_leverage; yoy_log_return; yoy_mom_6m","raw; fund where retained; raw_plus_latent","Prefix controls the assignment even when the underlying base variable is price-derived.","yoy_log_return and yoy_mom_6m are dynamic changes of price variables, but family_id remains 2 for the 11-family taxonomy; price-only subset flags can be added separately.","No look-ahead: computed from prior annual observations within permno."
3,acceleration,"^accel_","accel_roa; accel_leverage; accel_log_return; accel_mom_6m","raw; fund where retained; raw_plus_latent","Prefix controls assignment; second differences of price variables remain acceleration family with price-derived flag.","accel_log_return can also be interpreted as price deterioration; keep family_id 3 and use source_variable_family=price in later outputs.","Derived from lagged YoY changes."
4,expanding_mean,"^expmean_","expmean_roa; expmean_interest_cov; expmean_log_mkvalt","raw; fund; raw_plus_latent","Prefix controls assignment over source variable type.","expmean_log_mkvalt is size history, not price momentum.","Must be lagged/within-training-window only when recomputed."
5,expanding_volatility,"^expvol_","expvol_roa; expvol_leverage; expvol_log_return","raw; fund where retained; raw_plus_latent","Prefix controls assignment over source variable type.","expvol_log_return is volatility of price return history; keep family_id 5 and flag source_variable_family=price.","Do not pool future test/OOS distribution information."
6,peak_deterioration,"^peak_drop_","peak_drop_roa; peak_drop_interest_cov; peak_drop_max_dd_12m","raw; fund where retained; raw_plus_latent","Peak-drop construction controls assignment even if source variable has a separate economic family.","peak_drop_max_dd_12m is both drawdown-related and peak deterioration; keep family_id 6.","Uses historical peak logic only."
7,trough_rise,"^trough_rise_","trough_rise_leverage; trough_rise_net_debt_ebitda; trough_rise_max_dd_12m","raw; fund where retained; raw_plus_latent","Trough-rise construction controls assignment even if source variable is leverage or price-derived.","trough_rise_max_dd_12m is retained here, with source_variable_family=price.","Uses historical trough logic only."
8,consecutive_declines,"^consec_decline_","consec_decline_roa; consec_decline_interest_cov; consec_decline_log_return","raw; fund where retained; raw_plus_latent","Consecutive-decline counter controls assignment.","consec_decline_log_return is a price-decline counter; keep family_id 8 and flag price-derived.","Computed from lagged annual signs."
9,accounting_momentum,"^acct_mom_","acct_mom_roa; acct_mom_leverage; acct_mom_log_return","raw; fund where retained; raw_plus_latent","Prefix controls assignment; despite the name, source variables can include retained or stripped price variables depending on feature set.","acct_mom_log_return is stripped from fund but remains family_id 9 in raw/raw_plus_latent.","Represents short-run change relative to longer-run accounting/feature history."
10,rolling_window_statistics,"^roll_(mean|min|max|sd|trend|autocorr)_(3y|5y)_","roll_mean_3y_roa; roll_sd_5y_leverage; roll_trend_3y_log_return","raw; fund where retained; raw_plus_latent","All rolling 3-year and 5-year statistics map here regardless of source variable.","roll_*_log_return is price-derived but family_id 10 under the exactly-11-family taxonomy.","Window length and statistic should be stored as separate output columns later."
11,price_momentum_volatility_and_macro_interactions,"^(mom_|vol_|max_dd_|log_return$|ann_return$|interact_)","mom_24m; vol_60m; max_dd_12m; log_return; interact_lev_rate; interact_ret_vix","raw; raw_plus_latent; fund only for non-price macro interactions retained by fund","Price level/momentum/volatility features and explicit macro interactions are grouped here to keep exactly 11 families. Non-price interactions remain here because 06B defines them as Family 11.","interact_ret_vix is both price and macro; interact_lev_rate is leverage and macro. Keep family_id 11 and add component_family fields in later outputs.","For family-level reporting, consider splitting price and interaction subfamilies only as secondary labels, not as additional families."
