frame_number,source_file,line_start,line_end,frame_title,current_role,related_requirement,period,track,transaction_cost_coverage,source_map_row,source_status,caveats
18,FinalPresentation_TristanLeiter_h11815352.Rnw,886,951,"Index Construction I: From Score to Portfolio Weight","methodology","threshold-family interpretation","all","temporary_csi; permanent_csi","0;5;10;20 bps methodology","SLIDE_DATA_SOURCES.md row 18","conceptual/source-backed","Methodology frame; no numeric result table."
19,FinalPresentation_TristanLeiter_h11815352.Rnw,954,999,"Index Construction II: Four Benchmark Universes","methodology","transaction-cost robustness; turnover; threshold-family interpretation","OOS grid","temporary_csi; permanent_csi","0;5;10;20 bps stated","SLIDE_DATA_SOURCES.md row 19","source-backed","Defines the grid rather than displaying final results."
20,FinalPresentation_TristanLeiter_h11815352.Rnw,1004,1030,"Index Results: Temporary-CSI at 10 bps transaction costs (test set)","test result","temporary CSI test index results","test","dynamic_csi","10 bps displayed; source has 0;5;10;20 bps","SLIDE_DATA_SOURCES.md row 20","source-backed","Uses isolated test-set output from AE-FP-DIAG-006."
21,FinalPresentation_TristanLeiter_h11815352.Rnw,1035,1062,"Index Results: Temporary-CSI at 0 bps transaction costs (OOS set)","OOS result","temporary CSI OOS index results","OOS","dynamic_csi","0 bps displayed","SLIDE_DATA_SOURCES.md row 21","source-backed","Current slide is 0 bps; planned revision needs 10 bps emphasis."
22,FinalPresentation_TristanLeiter_h11815352.Rnw,1067,1092,"Index resukts: Temporary-CSI Error-Cost Diagnostic","OOS diagnostic","temporary CSI OOS error-cost / realized contribution","OOS","dynamic_csi","pre-cost geometric diagnostic; adjacent 10 bps attribution available","SLIDE_DATA_SOURCES.md row 22","source-backed","Title has typo in current deck; diagnostic uses OOS decomposition and geometric adjustment."
23,FinalPresentation_TristanLeiter_h11815352.Rnw,1097,1122,"Index-Results: Temporary-CSI Realized Active Attribution","OOS attribution","temporary CSI OOS error-cost / realized contribution","OOS","dynamic_csi","10 bps displayed; source has 0;5;10;20 bps","SLIDE_DATA_SOURCES.md row 23","source-backed","Attribution reconciles realized alpha."
24,FinalPresentation_TristanLeiter_h11815352.Rnw,1127,1153,"Index Results: Temporary CSI at 10 bps transaction costs (OOS set)","OOS result","temporary CSI OOS index results","OOS","dynamic_csi","10 bps displayed; source has 0;5;10;20 bps","SLIDE_DATA_SOURCES.md row 24","source-backed","Likely target result slide for planned block A."
25,FinalPresentation_TristanLeiter_h11815352.Rnw,1158,1183,"Index Results: Permanent-CSI at 0 bps transaction costs (test set)","test result","permanent CSI test index results","test","permanent_csi","0 bps displayed","SLIDE_DATA_SOURCES.md row 25","source-backed but mislabeled current role","Current title says test set but source-map row 25 maps OOS 0 bps; planned test result should use AE-FP-DIAG-006 isolated test output."
26,FinalPresentation_TristanLeiter_h11815352.Rnw,1190,1215,"Permanent CSI: Error-Cost Diagnostic","OOS diagnostic","permanent CSI OOS error-cost / realized contribution","OOS","permanent_csi","pre-cost geometric diagnostic; adjacent 10 bps attribution available","SLIDE_DATA_SOURCES.md row 26","source-backed","Diagnostic uses OOS decomposition and geometric adjustment."
27,FinalPresentation_TristanLeiter_h11815352.Rnw,1220,1245,"Permanent CSI: Realized Active Attribution","OOS attribution","permanent CSI OOS error-cost / realized contribution","OOS","permanent_csi","10 bps displayed; source has 0;5;10;20 bps","SLIDE_DATA_SOURCES.md row 27","source-backed","Attribution reconciles realized alpha."
