metric,count,unit,calculation,source,interpretation
slide_7_confirmed_csi_rows,8369,confirmed-CSI source/event cells,source count from confirmed_csi event status,F_bankruptcy_detection_by_grid.csv and AE-PANEL-004,This is the before count shown near slide 7 and is not the same unit as final cleaned response rows.
old_y1_rows,8217,final observable firm-year response rows,confirmed_csi annual cells intersected with labels_base row keys,csi_events_base.rds plus labels_base.rds read-only in-memory check,Same-scaffold old confirmed-only y=1 count.
terminal_failure_event_rows,2075,terminal-failure event rows,event_status equals terminal_failure_before_confirmation,csi_events_base.rds and terminal_failure_additive_summary_events.csv,Gross terminal-failure source events before annual firm-year collapse.
terminal_failure_unique_annual_cells,604,annual firm-year label cells,unique terminal_failure_before_confirmation permno-label_year cells,csi_events_base.rds read-only in-memory check,Terminal failures after collapsing to annual response-cell candidates.
terminal_failures_duplicate_same_firm_year,1471,event rows,2075 terminal-failure event rows minus 604 unique annual cells,csi_events_base.rds read-only in-memory check,Multiple terminal-failure events can map to the same firm-year unit.
terminal_failures_already_positive,296,annual firm-year label cells,terminal annual cells intersected with old confirmed_csi annual cells,csi_events_base.rds read-only in-memory check,These terminal-failure cells do not add new positives because the firm-year was already confirmed positive.
terminal_failure_new_cells_pre_scaffold,308,annual firm-year label cells,604 terminal unique annual cells minus 296 already-positive cells,csi_events_base.rds read-only in-memory check,New candidate annual cells before applying the final model-ready scaffold.
terminal_failures_outside_scaffold,8,annual firm-year label cells,308 new candidate cells minus 300 cells inside labels_base row keys,csi_events_base.rds plus labels_base.rds read-only in-memory check,New terminal-failure cells absent from the final model-ready scaffold.
terminal_failures_unlabelled_or_na,0,annual firm-year label cells,300 new candidate cells inside scaffold minus 300 current y=1 cells,csi_events_base.rds plus labels_base.rds read-only in-memory check,No additional in-scaffold terminal-failure additions are lost to y=NA.
terminal_failure_added_final_y1_rows,300,final observable firm-year response rows,terminal new candidate cells inside labels_base row keys,csi_events_base.rds plus labels_base.rds read-only in-memory check,Valid same-unit terminal-failure addition to final y=1 rows.
final_y1_rows,8517,final observable firm-year response rows,count of labels_base rows with y=1,labels_base.rds and overview_counts_cv_and_full.csv,Authoritative final temporary CSI positive response-row count used on slide 6.
net_y1_increase,300,final observable firm-year response rows,8517 final y=1 rows minus 8217 old same-scaffold y=1 rows,csi_events_base.rds plus labels_base.rds read-only in-memory check,Valid same-unit old-to-current label increase.
mixed_unit_difference_final_y1_minus_slide7,148,mixed units,8517 final response rows minus 8369 confirmed source/event cells,slide 6 and slide 7 claims,This arithmetic is not a valid terminal-failure label bridge because it mixes scaffold units.
terminal_failure_detected_cases_before,151,unique CRSP 572-574 bankruptcy firms,confirmed-only detected firms,F_bankruptcy_detection_by_grid.csv,Before-row firm-level detection count.
terminal_failure_detected_cases_after,545,unique CRSP 572-574 bankruptcy firms,default_firms_detected_by_temp_csi,temporary_csi_crsp_default_overlap_summary.csv,After-row firm-level terminal-failure-inclusive detection count.
gross_detection_increase,394,unique CRSP 572-574 bankruptcy firms,545 after minus 151 before,F_bankruptcy_detection_by_grid.csv plus temporary_csi_crsp_default_overlap_summary.csv,This is a firm-level detection diagnostic and does not imply 394 added response rows.
