ticket_id,page,slide_title,changed_area,render_file,qa_status,issue_found,fix_applied,notes
AE-PRES-INDEX-REV-007,20,Temporary CSI Test-Set Index Results at 10 bps,temporary test result,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-20.png,pass,no,no,"Table, test-set check block, and source remark fit within frame."
AE-PRES-INDEX-REV-007,21,Temporary CSI Test-Set Diagnostic and Active Contribution,temporary test diagnostic/contribution,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-21.png,pass,no,no,"Diagnostic table, attribution caveat, interpretation, and source remark are readable."
AE-PRES-INDEX-REV-007,22,Temporary CSI OOS Index Results at 10 bps,temporary OOS result,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-22.png,pass,no,no,"OOS result table and transaction-cost read fit cleanly."
AE-PRES-INDEX-REV-007,23,Temporary CSI OOS Diagnostic and Active Contribution,temporary OOS diagnostic/contribution,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-23.png,pass,no,no,"Contribution table and interpretation block are visible without clipping."
AE-PRES-INDEX-REV-007,24,Permanent CSI OOS Index Results at 10 bps,permanent OOS result,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-24.png,pass,no,no,"Permanent OOS result table and transaction-cost read fit cleanly."
AE-PRES-INDEX-REV-007,25,Permanent CSI OOS Diagnostic and Active Contribution,permanent OOS diagnostic/contribution,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-25.png,pass,no,no,"Contribution table, interpretation, and source remark are readable."
AE-PRES-INDEX-REV-007,26,Permanent CSI Test-Set Index Results at 10 bps,permanent test result,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-26.png,pass,no,no,"Permanent test result table and test-set check fit within frame."
AE-PRES-INDEX-REV-007,27,Permanent CSI Test-Set Diagnostic and Active Contribution,permanent test diagnostic/contribution,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-27.png,pass,no,no,"Diagnostic table, attribution caveat, and interpretation remain readable."
AE-PRES-INDEX-REV-007,28,Transaction-Cost Robustness,robustness,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-28.png,pass,no,no,"5/10/20 bps columns and interpretation block are readable."
AE-PRES-INDEX-REV-007,29,Turnover Effect,turnover effect,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-29.png,pass,no,no,"Turnover and drag columns for 5/10/20 bps are readable."
AE-PRES-INDEX-REV-007,30,Threshold Families and Turnover,threshold/turnover interpretation,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-30.png,pass,no,no,"Rule-family and turnover summary tables fit; interpretation block remains visible."
AE-PRES-INDEX-REV-007,31,Sensitivity: Temporary CSI Main Run Versus C/M/T Grid,sensitivity main-run/grid,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-31.png,pass,yes,yes,"Initial render clipped the limit block below the footer. Replaced tall blocks with compact labeled notes, recompiled, rerendered, and confirmed the final slide fits."
AE-PRES-INDEX-REV-007,52,Appendix A19: Temporary CSI Sensitivity Detail,appendix sensitivity,06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/visual_qa/AE-PRES-INDEX-REV-007/slide-52.png,pass,no,no,"Appendix table, main comparison, limits, and source remark are readable."
