claim_id,claim_text,status,rationale,source_evidence
claim_001,"AP and index alpha are related but distinct objectives.",supported,"AP/AUC/R@FPR are label-ranking diagnostics; alpha is portfolio realized return after thresholding and weighting.","AE-MODEL-INDEX-LINK-002_Correlation_Analysis.md; AE-MODEL-INDEX-LINK-003_Mechanism_Diagnostic.md"
claim_002,"Higher AP mechanically implies higher alpha.",not_supported,"OOS AP vs total-market alpha Pearson r is -0.042425 and Spearman rho is -0.100870 across 24 completed/reused CMT runs.","AE-MODEL-INDEX-LINK-002_metric_alpha_correlations.csv"
claim_003,"The AP winner is the total-market alpha winner.",not_supported,"AP winner C060_M000_T012 differs from total-market alpha winner C090_M020_T018.","AE-MODEL-INDEX-LINK-003_alignment_divergence_examples.csv"
claim_004,"The main CMT run is not an outlier.",supported,"Main run C080_M020_T018 sits inside the sensitivity distribution; below median total/large cap and above median mid/small cap.","AE-SENS-CHART tables; AE-MODEL-INDEX-LINK-003_Mechanism_Diagnostic.md"
claim_005,"Fixed-FPR recall appears more aligned with alpha than AP in the CMT sample.",qualified_supported,"R@FPR3 has Pearson r 0.336036 versus AP Pearson r -0.042425, but relationship remains moderate and non-deterministic.","AE-MODEL-INDEX-LINK-002_Correlation_Analysis.md"
claim_006,"Model metrics alone can select the final index-construction rule.",not_supported,"Threshold, lockout, market-cap weighting, timing, error-cost composition, turnover, and costs mediate portfolio outcomes.","AE-MODEL-INDEX-LINK-003_Mechanism_Diagnostic.md"
claim_007,"Temporary-CSI sensitivity supports robustness rather than replacing the headline setup.",supported,"Main run is not outlier; different objectives select different CMT settings.","AE-SENS-CHART evidence; AE-MODEL-INDEX-LINK-003_Mechanism_Diagnostic.md"
claim_008,"The same CMT sensitivity conclusions apply to permanent CSI.",not_supported,"Permanent-CSI CMT sensitivity remains unavailable/future work.","AE-MODEL-INDEX-LINK-001_Status_Quo_Diagnostic.md"
claim_009,"Observed correlations are causal estimates.",not_supported,"Correlations are descriptive diagnostics over 24 completed/reused sensitivity runs and model-suite family summaries.","AE-MODEL-INDEX-LINK-002_Correlation_Analysis.md"
claim_010,"Transaction costs are the main explanation for AP-alpha divergence.",not_supported,"Transaction cost drag is economically visible but smaller than variation from CMT setting, threshold, lockout, and universe choice.","AE-MODEL-INDEX-LINK-003_Mechanism_Diagnostic.md"
