example_type,title,run_id,universe,metric_summary,index_summary,mechanism_channel,source_path
divergence,AP winner is not total-market alpha winner,C060_M000_T012,total_market,OOS AP=0.566; OOS AUC=0.864; R@FPR3=0.204,Total-market alpha=0.052pp; rank below alpha winner; best strategy=fpr3_5yr,"Label-ranking performance does not guarantee portfolio alpha; threshold, timing, and return weighting mediate the result.",05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv
alignment,Total-market alpha winner has solid but not top AP,C090_M020_T018,total_market,OOS AP=0.274; OOS AUC=0.911; R@FPR3=0.316,Highest total-market alpha=0.226pp; best strategy=youden_5yr,"Good fixed-FPR/event ranking can align with alpha, but alpha still depends on the selected strategy rule.",05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv
non_outlier,"Main run is inside distribution, not cherry-picked",C080_M020_T018,total_market,OOS AP=0.308; OOS AUC=0.896; R@FPR3=0.255,Total-market alpha=0.065pp; difference from alpha winner=0.161pp,Continuity baseline is robust but not top-ranked; sensitivity is robustness evidence rather than a new headline setting.,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv
universe_channel,Main run below median in large_cap,C080_M020_T018,large_cap,"Same model metric values, different universe portfolio weights.","main alpha=0.039pp; median=0.072pp; IQR=[0.036, 0.109]pp",Universe and market-cap weighting change how the same predictions translate into returns.,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv
universe_channel,Main run above median in mid_cap,C080_M020_T018,mid_cap,"Same model metric values, different universe portfolio weights.","main alpha=0.182pp; median=0.127pp; IQR=[0.072, 0.183]pp",Universe and market-cap weighting change how the same predictions translate into returns.,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv
universe_channel,Main run above median in small_cap,C080_M020_T018,small_cap,"Same model metric values, different universe portfolio weights.","main alpha=0.380pp; median=0.183pp; IQR=[0.115, 0.319]pp",Universe and market-cap weighting change how the same predictions translate into returns.,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv
universe_channel,Main run below median in total_market,C080_M020_T018,total_market,"Same model metric values, different universe portfolio weights.","main alpha=0.065pp; median=0.099pp; IQR=[0.063, 0.145]pp",Universe and market-cap weighting change how the same predictions translate into returns.,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv
threshold_channel,AP winner selected total-market rule,C060_M000_T012,total_market,"C=-0.60, M=0.00, T=12",best_total_market_strategy=fpr3_5yr; alpha=0.052pp; Sharpe=0.571,Threshold method and lockout length determine which scored firms actually affect the portfolio.,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv
threshold_channel,alpha winner selected total-market rule,C090_M020_T018,total_market,"C=-0.90, M=-0.20, T=18",best_total_market_strategy=youden_5yr; alpha=0.226pp; Sharpe=0.601,Threshold method and lockout length determine which scored firms actually affect the portfolio.,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv
threshold_channel,main run selected total-market rule,C080_M020_T018,total_market,"C=-0.80, M=-0.20, T=18",best_total_market_strategy=youden_5yr; alpha=0.065pp; Sharpe=0.588,Threshold method and lockout length determine which scored firms actually affect the portfolio.,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv
