slide,page_area,item,old_value_or_text,corrected_value_or_text,source_path,reason,status
20,summary_chart,total_oos_delta_pp,+0.42,+0.43,05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Stale OOS alpha value from pre-ticket source mapping,corrected
20,summary_chart,large_oos_delta_pp,+0.14,+0.15,05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Stale OOS alpha value from pre-ticket source mapping,corrected
20,summary_chart,mid_oos_delta_pp,+0.39,+0.51,05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Stale OOS alpha value from pre-ticket source mapping,corrected
20,summary_chart,small_oos_delta_pp,+0.55,+0.63,05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Stale OOS alpha value from pre-ticket source mapping,corrected
20,narrative,confidence_statement,"Risk down. Test Total Sharpe rises from 0.89 to 1.00; OOS alphas stay positive in all four universes.","OOS alpha. Current OOS deltas are positive in all four universes; Mid and Small are strongest.",05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Separated OOS evidence from test-set evidence,corrected
20,narrative,test_set_statement,"Smaller-cap tilt. Test-set alpha is +0.14 to +0.55 pp depending on universe.","Test-set check. Test evidence is shown separately; Permanent-CSI Total Sharpe rises 0.89 -> 1.00.",05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Separated test-set evidence from OOS alpha claims,corrected
20,narrative,summary_claim,"The crash-filter appears beneficial in both evaluation windows. It does not just lower risk; it also improves benchmark-relative return in smaller-cap universes.","The crash-filter appears beneficial in both evaluation windows, but the evidence differs by split. The OOS result is a positive benchmark-relative return delta across the four universes. The test-set result is reported separately and should not be read as the same diagnostic as OOS risk performance.",05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_Number_Audit_Report.md,Avoided mixed OOS/test interpretation,corrected
21,temporary_oos,total_delta_pp,+0.42,+0.43,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
21,temporary_oos,large_delta_pp,+0.14,+0.15,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
21,temporary_oos,mid_geo_return,9.7 -> 10.1,9.5 -> 10.0,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale return pair,corrected
