claim,displayed_value,source_path,source_row_or_filter,notes
"Research subquestion","How does the integration of Autoencoders for feature engineering impact the Average Precision of Ensemble models compared to those trained solely on raw financial data?","06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/Draft/FinalPresentation_TristanLeiter_h11815352_Draft.Rnw","Research Question frame","Restated from the existing Draft research-question slide."
"Temporary CV AG Exp.+VAE AP","0.2114","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=temporary_csi; cv_ap=0.2113600496644657","Rounded to four decimals."
"Permanent CV AG Exp.+VAE AP","0.1883","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=permanent_csi; cv_ap=0.18829793766102343","Rounded to four decimals; lead statement scoped to VAE/non-raw variants because raw compact permanent CV-AP is 0.1929."
"Temporary OOS AG Exp.+VAE AP","0.3152","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=temporary_csi; oos_ap=0.31522396519945606","Rounded to four decimals."
"Temporary OOS AG Exp.+VAE R@FPR1","0.1051","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=temporary_csi; oos_recall_fpr1=0.10512820512820513","Rounded to four decimals."
"Temporary OOS AG Exp.+VAE R@FPR3","0.2632","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=temporary_csi; oos_recall_fpr3=0.26324786324786326","Rounded to four decimals."
"Temporary OOS AG Exp.+VAE R@FPR5","0.4128","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=temporary_csi; oos_recall_fpr5=0.4128205128205128","Rounded to four decimals."
"Permanent test AG Exp.+VAE AUC","0.8838","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=permanent_csi; test_auc=0.8837505618503162","Rounded to four decimals."
"Permanent test AG Exp.+VAE R@FPR3","0.2011","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=permanent_csi; test_recall_fpr3=0.2011070110701107","Rounded to four decimals."
"Permanent test AG Exp.+VAE R@FPR5","0.3155","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=permanent_csi; test_recall_fpr5=0.3154981549815498","Rounded to four decimals."
"Permanent OOS AG Latent AP","0.0482","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=latent_raw; track=permanent_csi; oos_ap=0.048159630242032084","Rounded to four decimals."
"Permanent OOS AG Latent AUC","0.8337","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=latent_raw; track=permanent_csi; oos_auc=0.8336535837438409","Rounded to four decimals."
"Permanent OOS AG Latent Brier","0.0166","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=latent_raw; track=permanent_csi; oos_brier=0.016636294329663594","Rounded to four decimals."
"Temporary OOS AG Expanded AUC comparator","0.8961","03_Data_Output/6_ModelSuite/raw/metric_snapshot.csv","track=dynamic_csi; oos_auc_roc=0.8961","Raw compact comparator for reporting baseline."
"Temporary OOS AG Exp.+VAE AUC comparator","0.8950","03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_wide.csv","feature_set=raw_plus_latent; track=temporary_csi; oos_auc=0.8949768325374142","Rounded to four decimals."
