source_id,category,scope,path,row_count,key_columns,metric_columns,linkage_use,notes
sensitivity_model_summary,model_metrics,temporary_csi_cmt_runs,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_model_summary.csv,81,"run_id; C; M; T; run_status; split","auc; ap; recall_fpr_1pct; recall_fpr_3pct; recall_fpr_5pct; brier","Clean run_id linkage to CMT sensitivity index summaries","Three rows per CMT run across CV/test/OOS style splits where present."
sensitivity_index_summary,index_performance,temporary_csi_cmt_runs,03_Data_Output/5_SensitivityAnalysis/presentation_ready/sensitivity_cmt_index_summary.csv,27,"run_id; C; M; T; run_status","best_any_difference_vs_benchmark; best_total_market_difference_vs_benchmark; best_total_market_return; best_total_market_sharpe","Clean run_id linkage to CMT model summaries","Includes 27 CMT run IDs, including blocked_partial rows."
sensitivity_threshold_lockout_cost_summary,index_performance,temporary_csi_index_grid,03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_index_threshold_lockout_cost_summary.csv,1024,"source_family; model_key; universe; threshold_method; lockout_years; transaction_cost_bps","mean_net_return; max_net_return; mean_sharpe; mean_benchmark_delta; mean_turnover","Grid-level robustness source, not native CMT-run linkage","Useful for threshold/lockout/cost presentation, but not a direct AP-to-alpha run_id table."
sensitivity_key_findings,interpretation,temporary_csi_claims,03_Data_Output/5_SensitivityAnalysis/presentation_ready/temporary_presentation_key_findings.csv,6,"finding_id","claim; primary_value","Presentation claim inventory","Records strongest composite, AP winner, strongest 11C config, continuity baseline, and blocked configs."
sens_chart_stability_table,linked_diagnostic,temporary_csi_cmt_runs,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/sensitivity_index_stability_table.csv,24,"run_id; C; M; T","oos_ap; oos_auc; oos_r_fpr3; tm_alpha; difference_from_main_run","Best status-quo AP/AUC/R@FPR3 to total-market-alpha linkage source","Already excludes blocked configs and marks main/AP winner/composite/index-alpha roles."
sens_chart_universe_summary,index_distribution,temporary_csi_cmt_runs,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,4,"index_id","mean; median; min; max; q25; q75; iqr; main_run_value","Universe dispersion context for main-run outlier assessment","Summarizes 24 completed/reused CMT runs by universe."
sens_chart_interpretation,interpretation,temporary_csi_cmt_runs,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/AE-SENS-CHART-001R_Chart_Interpretation.md,NA,"run_id references","narrative findings","Human-readable interpretation of AP-alpha divergence","States AP winner differs from total-market alpha winner and main run is not an outlier."
model_suite_metrics,model_metrics,model_family_by_track,03_Data_Output/6_ModelSuite/comparison/AE-MODEL-SUITE-007_model_suite_metrics_long.csv,16,"track; folder; feature_set; split","cv_ap; cv_auc; cv_recall_fpr1; cv_recall_fpr3; cv_recall_fpr5; ap; auc; recall_fpr1; recall_fpr3; recall_fpr5; brier","Links model family and track to model metrics","Covers raw, fund, latent_raw, and raw_plus_latent for temporary and permanent CSI."
model_suite_threshold_metrics,model_metrics,model_family_by_track_split,03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_long.csv,24,"feature_set; track; split","ap; auc; brier; recall_fpr1; recall_fpr3; recall_fpr5","Detailed fixed-FPR source for model-family analysis","Good source for ticket 002 if detailed metric-alpha analysis is needed."
index_suite_best_by_cost,index_performance,model_family_by_track_universe_cost,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,32,"response_track; index_id; model_key; threshold_method; lockout_years; transaction_cost_bps","net_annualized_geometric_return; benchmark_net_annualized_geometric_return; net_difference_versus_benchmark; net_sharpe_ratio; annualized_turnover_gross","Links model family and track to best index result by universe and cost","Best compact source for model-suite index performance."
index_suite_model_family_comparison,index_performance,full_model_family_grid,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv,128,"response_track; index_id; model_key; threshold_method; lockout_years; transaction_cost_bps","net_difference_versus_benchmark; net_sharpe_ratio; annualized_turnover_gross; rank_by_alpha_within_track_index_cost","Full model-family index comparison source","Supports model-to-index family comparisons, but not CMT run_id sensitivity comparisons."
