path,role,status,evidence
06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/FinalPresentation_TristanLeiter_h11815352.Rnw,final_source,present,"79335 bytes; timestamp 2026-05-30 22:49:45; 48 frame declarations"
06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/FinalPresentation_TristanLeiter_h11815352.tex,generated_tex,present,"81294 bytes; timestamp 2026-05-30 22:49:56; generated after Rnw"
06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/FinalPresentation_TristanLeiter_h11815352.pdf,compiled_pdf,present,"483868 bytes; timestamp 2026-05-30 22:50:55; pdfinfo pages=48"
06_Presentations/02_FinalPresentation/Necessary/FinalPresentation_June/SLIDE_DATA_SOURCES.md,source_map,present,"25719 bytes; 48 numbered source-map rows"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-001_Validation_Report.md,revision_evidence,present,"Modelling labels/table headers validated"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-002_Validation_Report.md,revision_evidence,present,"Index result table scope validated"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-003_Validation_Report.md,revision_evidence,present,"Turnover and error-cost scope validated"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-004_Validation_Report.md,revision_evidence,present,"Appendix/source coverage validated"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-005_Compile_Visual_QA_Report.md,compile_visual_qa_evidence,present,"Successful compile and visual QA pass recorded"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-005_Validation_Report.md,compile_validation_evidence,present,"48 PDF pages; 48 Rnw frames; source-map coverage pass"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-006_Final_Closure_Report.md,closeout_evidence,created,"Closeout report for AE-PRES-REV-006"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-006_Final_File_Manifest.csv,closeout_evidence,created,"Final artifact manifest"
05_Documentation/09_Epics/AE-PRES-REV_Final_Presentation_Revisions/AE-PRES-REV-006_Final_Validation_Checks.csv,closeout_evidence,created,"Closeout validation checklist"
