source_id,category,track,feature_set_or_scope,path,split_scope,available_fields_or_contents,status,diagnostic_use,leakage_guard
pred_cv_raw_temp,cv_prediction,dynamic_csi,raw,03_Data_Output/6_ModelSuite/raw/temporary_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Build raw temporary CV FP/TP cohorts,Use only cv rows; do not use test/oos prediction files for discovery
pred_cv_raw_perm,cv_prediction,permanent_csi,raw,03_Data_Output/6_ModelSuite/raw/permanent_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Build raw permanent CV FP/TP cohorts,Use only cv rows; do not use test/oos prediction files for discovery
pred_cv_fund_temp,cv_prediction,dynamic_csi,fund,03_Data_Output/6_ModelSuite/fund/temporary_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Deferred ablation cohort source,Use only cv rows; defer unless assigned
pred_cv_fund_perm,cv_prediction,permanent_csi,fund,03_Data_Output/6_ModelSuite/fund/permanent_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Deferred ablation cohort source,Use only cv rows; defer unless assigned
pred_cv_latent_raw_temp,cv_prediction,dynamic_csi,latent_raw,03_Data_Output/6_ModelSuite/latent_raw/temporary_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Deferred temporary ablation cohort source,Use only cv rows; defer unless assigned
pred_cv_latent_raw_perm,cv_prediction,permanent_csi,latent_raw,03_Data_Output/6_ModelSuite/latent_raw/permanent_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Priority-2 permanent sensitivity source,Use only cv rows; no OOS-led discovery
pred_cv_raw_plus_latent_temp,cv_prediction,dynamic_csi,raw_plus_latent,03_Data_Output/6_ModelSuite/raw_plus_latent/temporary_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Priority-1 temporary main cohort source,Use only cv rows; do not use test/oos prediction files for discovery
pred_cv_raw_plus_latent_perm,cv_prediction,permanent_csi,raw_plus_latent,03_Data_Output/6_ModelSuite/raw_plus_latent/permanent_csi/ag_cv_results.parquet,cv,"fold_id; permno; year; y; p_csi",available,Priority-1 permanent non-raw cohort source,Use only cv rows; do not use test/oos prediction files for discovery
threshold_nonraw_all,thresholds,both,"fund; latent_raw; raw_plus_latent",03_Data_Output/6_ModelSuite/derived_metrics/complete_threshold_metrics_long.csv,cv/test/oos rows present,"threshold_fpr1; threshold_fpr3; threshold_fpr5; actual_fpr; tp/fp counts; source_file_path",available,Use cv rows only for CV thresholds,Filter split == cv before threshold use
threshold_raw_all,thresholds,both,raw,03_Data_Output/6_ModelSuite/raw/derived_metrics/raw_complete_threshold_metrics.csv,cv/test/oos rows present,"threshold_fpr1; threshold_fpr3; threshold_fpr5; actual_fpr; tp/fp counts",available,Use raw cv thresholds,Filter split == cv before threshold use
threshold_index_suite,index_thresholds,both,all final index-suite models,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/*/3_Modelling_Results/Necessary/*/11c_index_revised*/index_thresholds_by_crsp_universe.csv,cv-derived thresholds,"threshold_method; threshold_label; threshold; cv_fpr; cv_recall; cv_precision; cv_youden; cv_flag_rate; cv_n_flagged",available,Deck/index-aligned operating points for fpr1/fpr3/fpr5/youden,Thresholds are CV-derived; do not select among them using OOS alpha
label_split_summary,labels_and_splits,both,both,03_Data_Output/1_Descriptive_Statistics/Necessary/*/csi_prediction_response_stats_with_cv/overview_by_track_split_response.csv,cv/test/oos summary rows,"track; csi_type; split; response; obs; firms; first_year; last_year; share",available,Audit CV/test/OOS label counts and period boundaries,Use only cv rows for discovery; test/oos context only
label_counts_cv_full,label_counts,both,both,03_Data_Output/1_Descriptive_Statistics/Necessary/*/csi_revised_label_scaffold_stats/overview_counts_cv_and_full.csv,cv/full summary rows,"CSI type; Split; y; Obs; Share; Firms",available,Audit CV prevalence and labelled counts,Do not use full rows for cohort discovery
model_scope_best,model_scope,both,all,03_Data_Output/6_ModelSuite/comparison/AE-MODEL-SUITE-007_model_suite_best_by_track.csv,summary,"recommended_model_for_later_index_construction; recommendation_reason",available,Select first-pass model scope from existing deck evidence,Use as scope guidance only; not cohort evidence
model_metrics_deck,model_metrics,both,all,03_Data_Output/6_ModelSuite/comparison/AE-MODEL-SUITE-007_model_suite_metrics_long.csv,cv/test/oos metrics,"cv_ap; cv_auc; cv_recall_fpr3; split; ap; auc; recall_fpr3",available,Trace deck metric choices and model labels,Do not use test/oos rows for discovery or threshold selection
index_scope_cost,index_scope,both,all,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,oos index result summary,"response_track; index_id; analysis_model; threshold_method; lockout_years; transaction_cost_bps",available,Trace deck-visible best strategy rows,Context only; OOS alpha must not drive CV diagnostics
index_scope_family,index_scope,both,all,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_threshold_family.csv,oos index result summary,"response_track; index_id; analysis_model; threshold_method; lockout_years; transaction_cost_bps",available,Trace threshold-family rows already used in deck,Context only; OOS alpha must not drive CV diagnostics
index_grid_manifest,index_manifest,both,all,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/full_grid_manifest.csv,index-suite manifest,"model; response_track; threshold_methods; transaction_cost_bps; indices; required_files_complete",available,Confirm final model/track grid files exist,Manifest only; not discovery evidence
feature_family_doc,feature_summary,both,all,05_Documentation/09_Epics/AE-PRES-FINAL-REV2_Final_Presentation_Revisions/AE-PRES-FINAL-REV2-006_Feature_Engineering_Groups_Evidence.md,documentation,"feature-family narrative; feature-set assembly; VAE scaling notes",available,Human-readable feature grouping reference,No row-level feature discovery from this doc
row_level_features,feature_matrix,both,priority models,not found in inspected output evidence,cv-only required,"permno; year; engineered feature columns; feature group map",missing,Required before FP-vs-TP feature comparison,Must be CV-only joined to cv predictions; stop if only test/oos feature rows are available
fp_tp_feature_summary,feature_summary,both,priority models,not yet computed,cv-only required,"feature; group; FP summary; TP summary; support counts; missingness",missing,Expected output of computation ticket,Must be computed only after CV cohorts are defined
